time,latitude,longitude,BurntArea,BAs_GWIS,FCCI_BA,ws10,Lai,swvl1,mslp,rH_cf,FCD_emissions,FRP_emissions,ssr,NDVI
2001-01-01 12:00:00,13.875,102.375,1350.47,3501.3271,4717.1245,1.6908206,1.2,0.22724967,101090.29,60.468464,,,14.073935,0.55692244
2001-03-14 12:00:00,13.875,102.375,0.0,0.0,0.0,1.6044272,0.8,0.40138483,100952.64,74.34467,,,14.169271,0.45312333
2001-01-01 12:00:00,13.875,102.625,2014.99,18697.404,5334.268,1.8516625,1.0,0.26670748,101089.33,57.585117,,,13.983657,0.50082123
2001-03-14 12:00:00,13.875,102.625,0.0,0.0,0.0,1.6499912,0.8,0.42631498,100948.64,73.54525,,,14.119439,0.43457976
2001-01-01 12:00:00,13.875,102.875,2293.65,8042.462,13883.05,1.959424,0.8,0.2503574,101084.75,55.8883,,,13.903446,0.4439855
2001-03-14 12:00:00,13.875,102.875,0.0,0.0,0.0,1.6758585,0.7,0.4060496,100940.03,72.08208,,,14.017432,0.39030004
2001-01-01 12:00:00,13.875,103.125,257.23,231.0016,5811.884,1.9393525,0.8,0.23889025,101078.164,54.77243,,,13.9594755,0.4047154
2001-03-14 12:00:00,13.875,103.125,0.0,0.0,0.0,1.6379536,0.6,0.40041894,100930.516,71.14113,,,14.00618,0.33361512
2001-01-01 12:00:00,13.875,103.375,5058.9097,23.11207,7062.2705,1.9031934,0.90000004,0.22889167,101075.4,53.930088,,,14.010423,0.40415078
2001-03-14 12:00:00,13.875,103.375,0.0,0.0,0.0,1.5746065,0.90000004,0.39280885,100927.375,70.10905,,,14.103602,0.38253978
2001-01-01 12:00:00,13.875,103.625,342.99,23.105314,847.9017,1.8134216,1.7,0.1625233,101072.19,53.678455,,,13.704042,0.52718437
2001-03-14 12:00:00,13.875,103.625,0.0,0.0,0.0,1.5765413,1.5,0.33192295,100925.95,70.14966,,,13.637478,0.5010822
2001-01-01 12:00:00,13.875,103.875,0.0,2025.086,461.5161,1.7089844,3.8,0.22374919,101076.984,52.004456,,,13.57842,0.63727224
